# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 1
# active_virtual = 0
# process  = nu_e nu_e -> nu_e nu_e
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
9.99999999999999e-08	1.68617838258441e-16	1.57013171246727e-18	1.68617838258434e-16	1.00000000000004
1.05693455355799e-07	1.88364782983645e-16	1.57013171246727e-18	1.88364782983596e-16	1.00000000000026
1.11711065050482e-07	2.10424305250902e-16	1.57013171246727e-18	2.10424305251004e-16	0.999999999999514
1.18071284666619e-07	2.35067232520996e-16	1.57013171246727e-18	2.35067232520975e-16	1.00000000000009
1.24793620547131e-07	2.6259610903394e-16	1.57013171246727e-18	2.62596109033876e-16	1.00000000000024
1.31898689619867e-07	2.9334891018289e-16	1.57013171246727e-18	2.93348910182869e-16	1.00000000000007
1.39408282628258e-07	3.27703191879295e-16	1.57013171246727e-18	3.27703191879267e-16	1.00000000000009
1.47345430961984e-07	3.66080725852656e-16	1.57013171246727e-18	3.66080725852756e-16	0.999999999999729
1.55734477292614e-07	4.089526777946e-16	1.57013171246727e-18	4.08952677794651e-16	0.999999999999876
1.64601150230855e-07	4.56845391916929e-16	1.57013171246727e-18	4.56845391916873e-16	1.00000000000012
1.73972643234381e-07	5.10346852944576e-16	1.57013171246727e-18	5.1034685294439e-16	1.00000000000036
1.83877698008234e-07	5.70113904875792e-16	1.57013171246727e-18	5.70113904875798e-16	0.99999999999999
1.94346692653603e-07	6.36880315137467e-16	1.57013171246727e-18	6.36880315137649e-16	0.999999999999714
2.05411734835308e-07	7.11465783137095e-16	1.57013171246727e-18	7.11465783137137e-16	0.99999999999994
2.17106760253728e-07	7.94786003811918e-16	1.57013171246727e-18	7.94786003812253e-16	0.999999999999579
2.29467636723195e-07	8.87863909731308e-16	1.57013171246727e-18	8.87863909730836e-16	1.00000000000053
2.42532274176037e-07	9.91842229758805e-16	1.57013171246727e-18	9.91842229759173e-16	0.99999999999963
2.56340740929654e-07	1.10799751848459e-15	1.57013171246727e-18	1.10799751848443e-15	1.00000000000014
2.70935386573208e-07	1.23775582863129e-15	1.57013171246727e-18	1.23775582863187e-15	0.999999999999533
2.86360971850814e-07	1.3827102188889e-15	1.57013171246727e-18	1.38271021888909e-15	0.999999999999867
3.02664805939572e-07	1.54464031208313e-15	1.57013171246727e-18	1.54464031208286e-15	1.00000000000018
3.19896891543457e-07	1.72553414382651e-15	1.57013171246727e-18	1.72553414382686e-15	0.999999999999798
3.38110078248073e-07	1.92761256987884e-15	1.57013171246727e-18	1.92761256987871e-15	1.00000000000007
3.57360224606583e-07	2.15335653185872e-15	1.57013171246727e-18	2.15335653185848e-15	1.00000000000011
3.77706369453942e-07	2.40553751607244e-15	1.57013171246727e-18	2.40553751607325e-15	0.999999999999663
3.99210912974811e-07	2.68725157939369e-15	1.57013171246727e-18	2.68725157939435e-15	0.999999999999757
4.21939808080509e-07	3.00195735992665e-15	1.57013171246727e-18	3.00195735992734e-15	0.999999999999769
4.45962762681916e-07	3.35351853913475e-15	1.57013171246727e-18	3.35351853913618e-15	0.999999999999574
4.71353453478699e-07	3.74625127673549e-15	1.57013171246727e-18	3.74625127673441e-15	1.00000000000029
4.98189751920525e-07	4.18497720070843e-15	1.57013171246727e-18	4.18497720070731e-15	1.00000000000027
5.26553963033285e-07	4.67508260302968e-15	1.57013171246727e-18	4.67508260303001e-15	0.999999999999929
5.56533077842775e-07	5.22258456783574e-15	1.57013171246727e-18	5.22258456783465e-15	1.00000000000021
5.88219040170007e-07	5.8342048438921e-15	1.57013171246727e-18	5.83420484389023e-15	1.00000000000032
6.21709028616396e-07	6.51745236833603e-15	1.57013171246727e-18	6.51745236833662e-15	0.999999999999911
6.57105754603641e-07	7.28071545482534e-15	1.57013171246727e-18	7.28071545482673e-15	0.999999999999808
6.94517777382385e-07	8.13336477788351e-15	1.57013171246727e-18	8.13336477788203e-15	1.00000000000018
7.34059836975738e-07	9.08586841781589e-15	1.57013171246727e-18	9.08586841781284e-15	1.00000000000034
7.75853206078802e-07	1.01499203786281e-14	1.57013171246727e-18	1.01499203786241e-14	1.00000000000039
8.20026061993433e-07	1.13385841567401e-14	1.57013171246727e-18	1.1338584156737e-14	1.00000000000027
8.66713879738945e-07	1.26664531231399e-14	1.57013171246727e-18	1.26664531231362e-14	1.00000000000029
9.16059847544394e-07	1.41498296879701e-14	1.57013171246727e-18	1.41498296879755e-14	0.999999999999614
9.68215305996734e-07	1.58069254472693e-14	1.57013171246727e-18	1.58069254472669e-14	1.00000000000015
1.02334021219167e-06	1.76580847688817e-14	1.57013171246727e-18	1.76580847688776e-14	1.00000000000024
1.08160363031074e-06	1.97260345628234e-14	1.57013171246727e-18	1.97260345628302e-14	0.999999999999656
1.14318425012918e-06	2.20361633023581e-14	1.57013171246727e-18	2.20361633023639e-14	0.999999999999739
1.20827093504481e-06	2.46168327213228e-14	1.57013171246727e-18	2.46168327213343e-14	0.999999999999535
1.27706330130868e-06	2.74997260146953e-14	1.57013171246727e-18	2.74997260146982e-14	0.999999999999892
1.34977233023398e-06	3.0720236816994e-14	1.57013171246727e-18	3.0720236816984e-14	1.00000000000032
1.42662101526078e-06	3.43179037342902e-14	1.57013171246727e-18	3.43179037342833e-14	1.0000000000002
1.5078450458611e-06	3.83368957645865e-14	1.57013171246727e-18	3.83368957645672e-14	1.0000000000005
1.59369353038183e-06	4.28265545658709e-14	1.57013171246727e-18	4.28265545658914e-14	0.999999999999522
1.68442976004237e-06	4.7842000229994e-14	1.57013171246727e-18	4.78420002299833e-14	1.00000000000022
1.78033201643018e-06	5.34448079983821e-14	1.57013171246727e-18	5.34448079983687e-14	1.00000000000025
1.88169442497062e-06	5.97037642291505e-14	1.57013171246727e-18	5.97037642291632e-14	0.999999999999787
1.98882785698888e-06	6.6695710895609e-14	1.57013171246727e-18	6.66957108956272e-14	0.999999999999727
2.10206088313024e-06	7.45064889845158e-14	1.57013171246727e-18	7.45064889844959e-14	1.00000000000027
2.22174078106297e-06	8.32319923763355e-14	1.57013171246727e-18	8.32319923763008e-14	1.00000000000042
2.34823460055437e-06	9.29793451462894e-14	1.57013171246727e-18	9.29793451463021e-14	0.999999999999864
2.48193028918635e-06	1.03868216739938e-13	1.57013171246727e-18	1.03868216739898e-13	1.00000000000038
2.62323788216323e-06	1.1603229116905e-13	1.57013171246727e-18	1.16032291169084e-13	0.999999999999706
2.7725907598606e-06	1.29620908267481e-13	1.57013171246727e-18	1.29620908267461e-13	1.00000000000015
2.93044697697227e-06	1.44800897153708e-13	1.57013171246727e-18	1.44800897153689e-13	1.00000000000013
3.09729066733154e-06	1.61758624413038e-13	1.57013171246727e-18	1.6175862441304e-13	0.999999999999985
3.27363352871539e-06	1.8070228214283e-13	1.57013171246727e-18	1.80702282142817e-13	1.00000000000007
3.46001639218526e-06	2.01864443952356e-13	1.57013171246727e-18	2.01864443952269e-13	1.00000000000043
3.65701088077765e-06	2.25504920297293e-13	1.57013171246727e-18	2.25504920297314e-13	0.999999999999905
3.86522116263144e-06	2.51913948205417e-13	1.57013171246727e-18	2.51913948205371e-13	1.00000000000018
4.08528580392875e-06	2.81415754550886e-13	1.57013171246727e-18	2.81415754550941e-13	0.999999999999802
4.31787972733222e-06	3.14372536628838e-13	1.57013171246727e-18	3.14372536628708e-13	1.00000000000041
4.56371628192498e-06	3.51188908894045e-13	1.57013171246727e-18	3.51188908894149e-13	0.999999999999706
4.8235494310017e-06	3.92316870464665e-13	1.57013171246727e-18	3.92316870464822e-13	0.9999999999996
5.09817606442068e-06	4.3826135436909e-13	1.57013171246727e-18	4.38261354368975e-13	1.00000000000026
5.38843844260849e-06	4.89586426670355e-13	1.57013171246727e-18	4.89586426670251e-13	1.00000000000021
5.69522677971311e-06	5.46922211575822e-13	1.57013171246727e-18	5.46922211575937e-13	0.99999999999979
6.01948197382758e-06	6.10972627548909e-13	1.57013171246727e-18	6.10972627549133e-13	0.999999999999635
6.36219849265782e-06	6.82524029401759e-13	1.57013171246727e-18	6.82524029402054e-13	0.999999999999568
6.7244274234846e-06	7.62454862470454e-13	1.57013171246727e-18	7.62454862470503e-13	0.999999999999936
7.1072796967738e-06	8.51746447395121e-13	1.57013171246727e-18	8.5174644739499e-13	1.00000000000015
7.51192949332137e-06	9.51495027914904e-13	1.57013171246727e-18	9.51495027914591e-13	1.00000000000033
7.93961784538272e-06	1.06292522958545e-12	1.57013171246727e-18	1.06292522958578e-12	0.999999999999689
8.39165644283063e-06	1.18740509466039e-12	1.57013171246727e-18	1.18740509466056e-12	0.999999999999864
8.86943165601521e-06	1.32646287770875e-12	1.57013171246727e-18	1.326462877709e-12	0.999999999999816
9.37440878766353e-06	1.48180580818769e-12	1.57013171246727e-18	1.481805808188e-12	0.999999999999792
9.90813656685925e-06	1.65534105030588e-12	1.57013171246727e-18	1.65534105030672e-12	0.999999999999494
1.0472251898885e-05	1.84919911751579e-12	1.57013171246727e-18	1.84919911751548e-12	1.00000000000017
1.10684848854948e-05	2.06576002908059e-12	1.57013171246727e-18	2.06576002908067e-12	0.999999999999963
1.16986641310138e-05	2.30768252987353e-12	1.57013171246727e-18	2.30768252987317e-12	1.00000000000016
1.23647223505379e-05	2.57793673210648e-12	1.57013171246727e-18	2.57793673210523e-12	1.00000000000048
1.30687022974343e-05	2.87984057976303e-12	1.57013171246727e-18	2.87984057976235e-12	1.00000000000023
1.3812763028321e-05	3.2171005834087e-12	1.57013171246727e-18	3.21710058340851e-12	1.00000000000006
1.45991865247407e-05	3.59385732547128e-12	1.57013171246727e-18	3.59385732547092e-12	1.0000000000001
1.54303846918366e-05	4.01473629467723e-12	1.57013171246727e-18	4.01473629467834e-12	0.999999999999724
1.63089067554944e-05	4.48490467375503e-12	1.57013171246727e-18	4.48490467375344e-12	1.00000000000036
1.72374470806373e-05	5.0101347775471e-12	1.57013171246727e-18	5.01013477754882e-12	0.999999999999656
1.82188534346529e-05	5.59687492046708e-12	1.57013171246727e-18	5.59687492046439e-12	1.00000000000048
1.92561357212933e-05	6.25232858319169e-12	1.57013171246727e-18	6.25232858319409e-12	0.999999999999617
2.03524752118372e-05	6.98454285074338e-12	1.57013171246727e-18	6.98454285074183e-12	1.00000000000022
2.15112343018231e-05	7.80250720747125e-12	1.57013171246727e-18	7.80250720747099e-12	1.00000000000003
2.27359668232787e-05	8.71626390210933e-12	1.57013171246727e-18	8.71626390210645e-12	1.00000000000033
2.40304289440714e-05	9.73703123765527e-12	1.57013171246727e-18	9.7370312376538e-12	1.00000000000015
2.53985906878091e-05	1.08773412998789e-11	1.57013171246727e-18	1.08773412998812e-11	0.999999999999791
2.68446481096216e-05	1.21511938152708e-11	1.57013171246727e-18	1.21511938152731e-11	0.999999999999808
