# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 6
# active_virtual = 0
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
9.99999999999999e-08	2.80715239208307e-17	1.57013171246727e-18	2.81029730430723e-17	0.998880932554952
1.05693455355799e-07	3.1358998347861e-17	1.57013171246727e-18	3.1394130497266e-17	0.998880932554954
1.11711065050482e-07	3.50314710435585e-17	1.57013171246727e-18	3.50707175418341e-17	0.998880932554952
1.18071284666619e-07	3.91340294056106e-17	1.57013171246727e-18	3.91778720868292e-17	0.998880932554951
1.24793620547131e-07	4.37170410461768e-17	1.57013171246727e-18	4.37660181723127e-17	0.998880932554954
1.31898689619867e-07	4.88367721612403e-17	1.57013171246727e-18	4.88914850304782e-17	0.998880932554946
1.39408282628258e-07	5.45560783175998e-17	1.57013171246727e-18	5.46171986465445e-17	0.998880932554958
1.47345430961984e-07	6.09451761383658e-17	1.57013171246727e-18	6.10134543087926e-17	0.998880932554954
1.55734477292614e-07	6.80825053610613e-17	1.57013171246727e-18	6.81587796324418e-17	0.998880932554959
1.64601150230855e-07	7.60556918518933e-17	1.57013171246727e-18	7.61408986528121e-17	0.998880932554956
1.73972643234381e-07	8.49626233992634e-17	1.57013171246727e-18	8.50578088240649e-17	0.998880932554959
1.83877698008234e-07	9.49126514941468e-17	1.57013171246727e-18	9.50189841459663e-17	0.99888093255495
1.94346692653603e-07	1.06027933851765e-16	1.57013171246727e-18	1.06146719189608e-16	0.99888093255496
2.05411734835308e-07	1.18444934156827e-16	1.57013171246727e-18	1.18577630522856e-16	0.998880932554953
2.17106760253728e-07	1.32316097444935e-16	1.57013171246727e-18	1.32464333968709e-16	0.998880932554954
2.29467636723195e-07	1.47811721688972e-16	1.57013171246727e-18	1.47977318288473e-16	0.998880932554963
2.42532274176037e-07	1.65122048568205e-16	1.57013171246727e-18	1.65307038293195e-16	0.99888093255496
2.56340740929654e-07	1.84459599088716e-16	1.57013171246727e-18	1.84666253080738e-16	0.998880932554952
2.70935386573208e-07	2.06061782729854e-16	1.57013171246727e-18	2.06292638105312e-16	0.998880932554948
2.86360971850814e-07	2.30193812149532e-16	1.57013171246727e-18	2.30451703148181e-16	0.998880932554951
3.02664805939572e-07	2.5715195923255e-16	1.62590403299191e-18	2.5744005201381e-16	0.998880932554952
3.19896891543457e-07	2.87267192456864e-16	1.81631471195402e-18	2.87589023971143e-16	0.998880932554951
