# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 9
# active_virtual = 0
# process  = nu_1 nu_1~ -> nu_2 nu_2~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
9.99999999999999e-08	2.80715239208307e-17	1.57013171246727e-18	2.80819465733896e-17	0.999628848643678
1.05693455355799e-07	3.13589983478609e-17	1.57013171246727e-18	3.13706416040409e-17	0.99962884864368
1.11711065050482e-07	3.50314710435585e-17	1.57013171246727e-18	3.50444778490438e-17	0.999628848643678
1.18071284666619e-07	3.91340294056106e-17	1.57013171246727e-18	3.91485594465472e-17	0.999628848643678
1.24793620547131e-07	4.37170410461768e-17	1.57013171246727e-18	4.37332727096592e-17	0.99962884864368
1.31898689619867e-07	4.88367721612403e-17	1.57013171246727e-18	4.88549047253924e-17	0.999628848643672
1.39408282628258e-07	5.45560783175997e-17	1.57013171246727e-18	5.45763343981343e-17	0.999628848643684
1.47345430961984e-07	6.09451761383658e-17	1.57013171246727e-18	6.09678044216688e-17	0.99962884864368
1.55734477292614e-07	6.80825053610613e-17	1.57013171246727e-18	6.81077836573414e-17	0.999628848643685
1.64601150230855e-07	7.60556918518933e-17	1.57013171246727e-18	7.60839305058946e-17	0.999628848643683
1.73972643234381e-07	8.49626233992633e-17	1.57013171246727e-18	8.49941691004038e-17	0.999628848643685
1.83877698008234e-07	9.49126514941468e-17	1.57013171246727e-18	9.49478915328693e-17	0.999628848643676
1.94346692653603e-07	1.06027933851765e-16	1.57013171246727e-18	1.06067300874345e-16	0.999628848643686
2.05411734835308e-07	1.18444934156827e-16	1.57013171246727e-18	1.18488911477031e-16	0.999628848643679
2.17106760253728e-07	1.32316097444935e-16	1.57013171246727e-18	1.32365224977715e-16	0.99962884864368
2.29467636723195e-07	1.47811721688972e-16	1.57013171246727e-18	1.47866602579072e-16	0.999628848643688
2.42532274176037e-07	1.65122048568205e-16	1.57013171246727e-18	1.65183356595046e-16	0.999628848643685
2.56340740929654e-07	1.84459599088716e-16	1.57013171246727e-18	1.84528086938463e-16	0.999628848643678
2.70935386573208e-07	2.06061782729854e-16	1.57013171246727e-18	2.06138291236237e-16	0.999628848643674
2.86360971850814e-07	2.30193812149532e-16	1.57013171246727e-18	2.30279280616866e-16	0.999628848643677
