# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 2
# active_virtual = 0
# process  = nu_e nu_e~ -> nu_e nu_e~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
1e-12	1.12487569275413e-26	1.57013171246727e-18	1.12348812763242e-26	1.00123505098771
1.03996091395412e-12	1.21657409976005e-26	1.57013171246727e-18	1.21507342212991e-26	1.00123505098771
1.08151870255229e-12	1.31574764193121e-26	1.57013171246727e-18	1.3141246310077e-26	1.00123505098772
1.12473717836475e-12	1.42300568258766e-26	1.57013171246727e-18	1.42125036591945e-26	1.00123505098771
1.16968270397038e-12	1.53900725955673e-26	1.57013171246727e-18	1.53710885175116e-26	1.00123505098771
1.21642429385736e-12	1.66446513457435e-26	1.57013171246727e-18	1.66241197102755e-26	1.00123505098771
1.26503372039589e-12	1.80015017278838e-26	1.57013171246727e-18	1.79792963801311e-26	1.00123505098772
1.31558562404569e-12	1.94689607927336e-26	1.57013171246727e-18	1.94449452938423e-26	1.00123505098772
1.36815762796746e-12	2.10560452165985e-26	1.57013171246727e-18	2.10300720053965e-26	1.00123505098771
1.42283045721434e-12	2.27725067035378e-26	1.57013171246727e-18	2.27444161898576e-26	1.00123505098771
1.47968806268638e-12	2.46288919038736e-26	1.57013171246727e-18	2.4598511487964e-26	1.00123505098772
1.53881775003832e-12	2.66366072171778e-26	1.57013171246727e-18	2.66037502291803e-26	1.00123505098772
1.60031031373868e-12	2.88079888779168e-26	1.57013171246727e-18	2.87724534308881e-26	1.00123505098771
1.66426017648588e-12	3.11563787543855e-26	1.57013171246727e-18	3.11179465038202e-26	1.00123505098772
1.73076553419569e-12	3.36962063266705e-26	1.57013171246727e-18	3.3654641128903e-26	1.00123505098772
1.79992850678244e-12	3.64430773473546e-26	1.57013171246727e-18	3.6398123808594e-26	1.00123505098771
1.87185529496554e-12	3.94138697297238e-26	1.57013171246727e-18	3.9365251636808e-26	1.00123505098772
1.94665634334222e-12	4.26268372526558e-26	1.57013171246727e-18	4.25742558758848e-26	1.00123505098772
2.02444650997676e-12	4.61017217193993e-26	1.57013171246727e-18	4.6044853977016e-26	1.00123505098771
2.10534524276665e-12	4.98598742593917e-26	1.57013171246727e-18	4.97983707324318e-26	1.00123505098772
2.18947676285656e-12	5.39243865184372e-26	1.57013171246727e-18	5.38578693037573e-26	1.00123505098772
2.27697025538162e-12	5.83202325433479e-26	1.57013171246727e-18	5.82482929316301e-26	1.00123505098771
2.36796006783301e-12	6.3074422232829e-26	1.57013171246727e-18	6.29966181973021e-26	1.00123505098771
2.46258591635047e-12	6.82161672974845e-26	1.57013171246727e-18	6.81320207779278e-26	1.00123505098771
2.56099310025838e-12	7.37770607486652e-26	1.57013171246727e-18	7.36860547140099e-26	1.00123505098772
2.66333272517489e-12	7.97912710190178e-26	1.57013171246727e-18	7.96928462904927e-26	1.00123505098772
2.76976193503679e-12	8.62957519074852e-26	1.57013171246727e-18	8.61893037227924e-26	1.00123505098771
2.88044415339619e-12	9.33304696387577e-26	1.57013171246727e-18	9.32153439361593e-26	1.00123505098771
2.9955493343597e-12	1.00938648432304e-25	1.57013171246727e-18	1.008141378318e-25	1.00123505098771
3.11525422355537e-12	1.09167036089888e-25	1.57013171246727e-18	1.09032375546776e-25	1.00123505098772
3.23974262952807e-12	1.18066191233413e-25	1.57013171246727e-18	1.17920553337542e-25	1.00123505098771
3.36920570598013e-12	1.27690793958051e-25	1.57013171246727e-18	1.27533283849866e-25	1.00123505098771
3.50384224529052e-12	1.38099981809383e-25	1.57013171246727e-18	1.3792963168154e-25	1.00123505098772
3.64385898376338e-12	1.49357713148978e-25	1.57013171246727e-18	1.49173476299733e-25	1.00123505098771
3.78947091907449e-12	1.61533160141058e-25	1.57013171246727e-18	1.61333904542902e-25	1.00123505098771
3.94090164040326e-12	1.74701133774928e-25	1.57013171246727e-18	1.74485635118933e-25	1.00123505098771
4.09838367175706e-12	1.88942543534674e-25	1.57013171246727e-18	1.8870947770784e-25	1.00123505098771
4.26215882901511e-12	2.0434489454055e-25	1.57013171246727e-18	2.04092829489903e-25	1.00123505098772
4.43247859124017e-12	2.2100282521668e-25	1.57013171246727e-18	2.20730212150145e-25	1.00123505098772
4.60960448682819e-12	2.3901868878873e-25	1.57013171246727e-18	2.38723852658715e-25	1.0012350509877
4.79380849508885e-12	2.58503182184537e-25	1.57013171246727e-18	2.58184311395736e-25	1.00123505098771
4.98537346387362e-12	2.79576026201856e-25	1.57013171246727e-18	2.79231161480072e-25	1.00123505098771
5.18459354389262e-12	3.02366701122557e-25	1.57013171246727e-18	3.01993723476095e-25	1.00123505098771
5.39177464038719e-12	3.27015242293082e-25	1.57013171246727e-18	3.266118599928e-25	1.00123505098771
5.6072348828517e-12	3.53673100559636e-25	1.57013171246727e-18	3.53236835057602e-25	1.00123505098771
5.83130511352586e-12	3.82504072844901e-25	1.57013171246727e-18	3.82032243545173e-25	1.00123505098771
6.06432939540768e-12	4.13685308584184e-25	1.57013171246727e-18	4.13175016372115e-25	1.00123505098771
6.306665540567e-12	4.47408398204909e-25	1.57013171246727e-18	4.46856507633789e-25	1.00123505098772
6.558685659571e-12	4.83880550337568e-25	1.57013171246727e-18	4.8328367036314e-25	1.00123505098771
6.82077673286523e-12	5.23325864991376e-25	1.57013171246727e-18	5.2268032813585e-25	1.00123505098772
7.09334120498751e-12	5.65986710517524e-25	1.57013171246727e-18	5.65288550335087e-25	1.00123505098772
7.37679760252722e-12	6.12125212820744e-25	1.57013171246727e-18	6.11370139526066e-25	1.00123505098771
7.67158117677876e-12	6.62024865969436e-25	1.57013171246727e-18	6.6120824007944e-25	1.00123505098772
7.97814457207605e-12	7.15992274100615e-25	1.57013171246727e-18	7.15109077927596e-25	1.00123505098772
8.2969585208343e-12	7.74359035322759e-25	1.57013171246727e-18	7.73403842143615e-25	1.00123505098772
8.62851256636624e-12	8.37483779191907e-25	1.57013171246727e-18	8.36450719904115e-25	1.00123505098771
8.97331581458284e-12	9.0575437028022e-25	1.57013171246727e-18	9.04637097339624e-25	1.00123505098772
9.33189771573251e-12	9.79590291376515e-25	1.57013171246727e-18	9.78381939795415e-25	1.00123505098771
9.70480887737953e-12	1.05944522096235e-24	1.57013171246727e-18	1.05813836612813e-24	1.00123505098771
1.00926219098697e-11	1.14580982080042e-24	1.57013171246727e-18	1.14439643285569e-24	1.00123505098771
1.04959323055814e-11	1.23921475076374e-24	1.57013171246727e-18	1.23768614526754e-24	1.00123505098772
1.0915359353313e-11	1.34023392942965e-24	1.57013171246727e-18	1.33858071399669e-24	1.00123505098772
1.1351547089209e-11	1.44948806047331e-24	1.57013171246727e-18	1.44770007706322e-24	1.00123505098771
1.1805165285687e-11	1.56764844652812e-24	1.57013171246727e-18	1.56571470903025e-24	1.00123505098772
1.22769104798825e-11	1.6954411139472e-24	1.57013171246727e-18	1.69334974067743e-24	1.00123505098771
1.27675070431915e-11	1.83365127380998e-24	1.57013171246727e-18	1.8313894145047e-24	1.00123505098772
1.32777082935531e-11	1.9831281465843e-24	1.57013171246727e-18	1.98068190344311e-24	1.00123505098771
1.38082976521797e-11	2.14479018008877e-24	1.57013171246727e-18	2.14214452238059e-24	1.00123505098771
1.43600898465113e-11	2.3196306928165e-24	1.57013171246727e-18	2.31676936452454e-24	1.00123505098771
1.49339321612411e-11	2.50872397729534e-24	1.57013171246727e-18	2.50562939723346e-24	1.0012350509877
1.55307057393331e-11	2.71323190098628e-24	1.57013171246727e-18	2.7098850547728e-24	1.00123505098771
1.61513269350293e-11	2.93441104527815e-24	1.57013171246727e-18	2.93079136850371e-24	1.00123505098771
1.67967487209249e-11	3.17362042644434e-24	1.57013171246727e-18	3.16970567831557e-24	1.00123505098772
1.74679621512707e-11	3.43232984600151e-24	1.57013171246727e-18	3.42809597268446e-24	1.00123505098772
1.81659978837514e-11	3.71212892177905e-24	1.57013171246727e-18	3.70754990860241e-24	1.00123505098772
1.88919277620747e-11	4.01473685518926e-24	1.57013171246727e-18	4.00978456679953e-24	1.00123505098771
1.96468664618024e-11	4.34201299471313e-24	1.57013171246727e-18	4.3366570021992e-24	1.00123505098771
2.04319732019505e-11	4.69596826050728e-24	1.57013171246727e-18	4.69017565443276e-24	1.00123505098771
2.12484535249865e-11	5.07877750033061e-24	1.57013171246727e-18	5.07251268852444e-24	1.00123505098772
2.20975611479566e-11	5.49279285270929e-24	1.57013171246727e-18	5.48601734157295e-24	1.00123505098772
2.2980599887586e-11	5.94055819945063e-24	1.57013171246727e-18	5.93323035743732e-24	1.00123505098772
2.38989256623078e-11	6.42482479630615e-24	1.57013171246727e-18	6.41689959811944e-24	1.00123505098771
