# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 9
# active_virtual = 0
# process  = nu_1 nu_1~ -> nu_2 nu_2~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
1e-12	2.81218923188533e-27	1.57013171246727e-18	2.80819465733897e-27	1.00142247067379
1.03996091395412e-12	3.04143524940013e-27	1.57013171246727e-18	3.0371150423195e-27	1.00142247067379
1.08151870255229e-12	3.28936910482804e-27	1.57013171246727e-18	3.28469672007142e-27	1.0014224706738
1.12473717836475e-12	3.55751420646916e-27	1.57013171246727e-18	3.55246093496939e-27	1.00142247067379
1.16968270397038e-12	3.84751814889183e-27	1.57013171246727e-18	3.84205294125577e-27	1.00142247067378
1.21642429385736e-12	4.16116283643588e-27	1.57013171246727e-18	4.15525211216413e-27	1.00142247067379
1.26503372039589e-12	4.50037543197095e-27	1.57013171246727e-18	4.4939828731254e-27	1.00142247067379
1.31558562404569e-12	4.8672401981834e-27	1.57013171246727e-18	4.86032652623477e-27	1.00142247067379
1.36815762796746e-12	5.26401130414963e-27	1.57013171246727e-18	5.25653403863388e-27	1.00142247067379
1.42283045721434e-12	5.69312667588444e-27	1.57013171246727e-18	5.68503987338524e-27	1.00142247067379
1.47968806268638e-12	6.1572229759684e-27	1.57013171246727e-18	6.14847694782162e-27	1.0014224706738
1.53881775003832e-12	6.65915180429446e-27	1.57013171246727e-18	6.64969281128067e-27	1.00142247067379
1.60031031373868e-12	7.20199721947921e-27	1.57013171246727e-18	7.19176714162753e-27	1.00142247067379
1.66426017648588e-12	7.78909468859638e-27	1.57013171246727e-18	7.77803066807116e-27	1.0014224706738
1.73076553419569e-12	8.42405158166762e-27	1.57013171246727e-18	8.41208563654421e-27	1.00142247067379
1.79992850678244e-12	9.11076933683866e-27	1.57013171246727e-18	9.09782794339401e-27	1.00142247067379
1.87185529496554e-12	9.85346743243094e-27	1.57013171246727e-18	9.83947107338342e-27	1.00142247067379
1.94665634334222e-12	1.0656709313164e-26	1.57013171246727e-18	1.06415719890864e-26	1.0014224706738
2.02444650997676e-12	1.15254304298498e-26	1.57013171246727e-18	1.15090591307534e-26	1.00142247067379
2.10534524276665e-12	1.24649685648479e-26	1.57013171246727e-18	1.244726269869e-26	1.0014224706738
2.18947676285656e-12	1.34810966296093e-26	1.57013171246727e-18	1.34619474042147e-26	1.00142247067379
2.27697025538162e-12	1.4580058135837e-26	1.57013171246727e-18	1.45593478904333e-26	1.00142247067379
2.36796006783301e-12	1.57686055582073e-26	1.57013171246727e-18	1.57462070404688e-26	1.00142247067379
2.46258591635047e-12	1.70540418243711e-26	1.57013171246727e-18	1.70298174085275e-26	1.00142247067379
2.56099310025838e-12	1.84442651871663e-26	1.57013171246727e-18	1.8418066028373e-26	1.00142247067379
2.66333272517489e-12	1.99478177547545e-26	1.57013171246727e-18	1.99194828745283e-26	1.0014224706738
2.76976193503679e-12	2.15739379768713e-26	1.57013171246727e-18	2.15432932739723e-26	1.00142247067379
2.88044415339619e-12	2.33326174096894e-26	1.57013171246727e-18	2.32994745903699e-26	1.00142247067379
2.9955493343597e-12	2.5234662108076e-26	1.57013171246727e-18	2.51988175291268e-26	1.00142247067378
