# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 1
# active_virtual = 0
# process  = nu_e nu_e -> nu_e nu_e
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
1e-12	1.68617838258439e-26	1.57013171246727e-18	1.68617838258434e-26	1.00000000000003
1.03996091395412e-12	1.82363345660488e-26	1.57013171246727e-18	1.82363345660433e-26	1.0000000000003
1.08151870255229e-12	1.97229368991751e-26	1.57013171246727e-18	1.97229368991766e-26	0.999999999999926
1.12473717836475e-12	2.13307251257233e-26	1.57013171246727e-18	2.1330725125718e-26	1.00000000000025
1.16968270397038e-12	2.30695781624755e-26	1.57013171246727e-18	2.3069578162466e-26	1.00000000000041
1.21642429385736e-12	2.49501802426911e-26	1.57013171246727e-18	2.49501802426988e-26	0.999999999999693
1.26503372039589e-12	2.69840865645238e-26	1.57013171246727e-18	2.69840865645292e-26	0.999999999999799
1.31558562404569e-12	2.91837942908294e-26	1.57013171246727e-18	2.91837942908282e-26	1.00000000000004
1.36815762796746e-12	3.15628193369634e-26	1.57013171246727e-18	3.15628193369693e-26	0.999999999999812
1.42283045721434e-12	3.41357794182128e-26	1.57013171246727e-18	3.41357794182112e-26	1.00000000000005
1.47968806268638e-12	3.69184838670019e-26	1.57013171246727e-18	3.69184838669948e-26	1.00000000000019
1.53881775003832e-12	3.99280307720481e-26	1.57013171246727e-18	3.99280307720297e-26	1.00000000000046
1.60031031373868e-12	4.31829120360429e-26	1.57013171246727e-18	4.31829120360333e-26	1.00000000000022
1.66426017648588e-12	4.67031269976588e-26	1.57013171246727e-18	4.67031269976402e-26	1.0000000000004
1.73076553419569e-12	5.05103053156503e-26	1.57013171246727e-18	5.05103053156224e-26	1.00000000000055
1.79992850678244e-12	5.46278398704686e-26	1.57013171246727e-18	5.46278398704718e-26	0.999999999999942
1.87185529496554e-12	5.90810304999352e-26	1.57013171246727e-18	5.90810304999466e-26	0.999999999999806
1.94665634334222e-12	6.38972394517649e-26	1.57013171246727e-18	6.38972394517543e-26	1.00000000000017
2.02444650997676e-12	6.91060595085018e-26	1.57013171246727e-18	6.9106059508534e-26	0.999999999999534
2.10534524276665e-12	7.47394958181526e-26	1.57013171246727e-18	7.47394958181707e-26	0.999999999999758
2.18947676285656e-12	8.083216254665e-26	1.57013171246727e-18	8.083216254668e-26	0.99999999999963
2.27697025538162e-12	8.74214955619981e-26	1.57013171246727e-18	8.74214955619807e-26	1.0000000000002
2.36796006783301e-12	9.45479824553455e-26	1.57013171246727e-18	9.45479824553738e-26	0.999999999999701
2.46258591635047e-12	1.02255411314059e-25	1.57013171246727e-18	1.02255411314072e-25	0.999999999999874
2.56099310025838e-12	1.10591139773348e-25	1.57013171246727e-18	1.10591139773346e-25	1.00000000000003
2.66333272517489e-12	1.19606386001458e-25	1.57013171246727e-18	1.19606386001447e-25	1.00000000000009
2.76976193503679e-12	1.29356543405278e-25	1.57013171246727e-18	1.29356543405253e-25	1.0000000000002
2.88044415339619e-12	1.39901520990324e-25	1.57013171246727e-18	1.39901520990298e-25	1.00000000000019
2.9955493343597e-12	1.51306111466483e-25	1.57013171246727e-18	1.51306111466518e-25	0.99999999999977
3.11525422355537e-12	1.63640389361466e-25	1.57013171246727e-18	1.636403893615e-25	0.999999999999796
3.23974262952807e-12	1.76980141587368e-25	1.57013171246727e-18	1.769801415874e-25	0.999999999999817
3.36920570598013e-12	1.91407333107196e-25	1.57013171246727e-18	1.91407333107125e-25	1.00000000000037
3.50384224529052e-12	2.07010610560906e-25	1.57013171246727e-18	2.07010610561011e-25	0.999999999999497
3.64385898376338e-12	2.23885846948443e-25	1.57013171246727e-18	2.23885846948501e-25	0.999999999999742
3.78947091907449e-12	2.42136730711499e-25	1.57013171246727e-18	2.42136730711562e-25	0.99999999999974
3.94090164040326e-12	2.61875402839396e-25	1.57013171246727e-18	2.61875402839421e-25	0.999999999999906
4.09838367175706e-12	2.83223145909237e-25	1.57013171246727e-18	2.83223145909247e-25	0.999999999999962
4.26215882901511e-12	3.06311129296534e-25	1.57013171246727e-18	3.06311129296546e-25	0.999999999999961
4.43247859124017e-12	3.31281215134059e-25	1.57013171246727e-18	3.31281215134125e-25	0.999999999999799
